participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.treatstrategy,player.ctrl_errors_count,player.ctrltaskpaid,player.ctrltaskpaid_errors_count,player.ctrltask1roundpaid,player.ctrltask1roundpaid_errors_count,player.ctrlgroup,player.ctrlgroup_errors_count,player.ctrlfeedback,player.ctrlfeedback_errors_count,player.ctrlpayoffmember,player.ctrlpayoffmember_errors_count,player.ctrlpayoffleader,player.ctrlpayoffleader_errors_count,player.ctrlpaymentrole,player.ctrlpaymentrole_errors_count,player.ctrlbeliefpayment,player.ctrlbeliefpayment_errors_count,player.ctrltruthtelling,player.ctrltruthtelling_errors_count,player.payoff,group.id_in_subsession,group.groupreturnsuccess,group.groupreturnfailure,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,55ze659m,P12,0,74,74,el_end,B_End,2020-10-08 02:55:57.611938+00:00,1,,,17.50,11,0,6,0,1,1,0,1,0,2,2,250,0,100,1,3,1,0,1,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
12,wdvqq1i9,P9,0,74,74,el_end,B_End,2020-10-08 02:57:25.423155+00:00,1,,,3.50,12,0,4,0,0,1,0,1,0,2,1,250,0,100,0,3,1,0,1,2,1,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
13,3zcbff0e,P15,0,74,74,el_end,B_End,2020-10-08 02:58:23.724251+00:00,1,,,21.50,13,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
14,wgjcsn7x,P16,0,74,74,el_end,B_End,2020-10-08 02:58:46.566379+00:00,1,,,11.25,14,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
15,u6mp7pg8,P14,0,74,74,el_end,B_End,2020-10-08 02:58:52.162101+00:00,1,,,8.00,15,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
16,mt0f855h,P17,0,74,74,el_end,B_End,2020-10-08 02:58:52.906801+00:00,1,,,18.00,16,0,5,0,2,1,1,1,0,2,0,250,0,100,0,3,1,0,1,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
17,vm36ejcx,P18,0,74,74,el_end,B_End,2020-10-08 02:59:19.802814+00:00,1,,,2.00,17,0,2,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,1,2,1,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
18,y7x8ejk0,P13,0,74,74,el_end,B_End,2020-10-08 02:59:21.683036+00:00,1,,,1.25,18,0,2,0,1,1,0,1,0,2,0,250,0,100,0,3,0,0,1,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
19,jupozxb0,P20,0,74,74,el_end,B_End,2020-10-08 03:01:33.099849+00:00,1,,,22.50,19,0,1,0,0,1,1,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
20,sm5vnuz4,P21,0,74,74,el_end,B_End,2020-10-08 03:01:56.468700+00:00,1,,,10.00,20,0,5,0,0,1,0,1,0,2,0,250,0,100,2,3,1,0,1,2,1,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
21,g1fwh1ap,P22,0,74,74,el_end,B_End,2020-10-08 03:02:20.821715+00:00,1,,,14.50,21,0,2,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,2,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
22,vdhfkylf,P23,0,74,74,el_end,B_End,2020-10-08 03:02:23.324197+00:00,1,,,15.00,22,0,2,0,0,1,1,1,0,2,0,250,0,100,0,3,0,0,1,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
23,0crf9q59,P24,0,74,74,el_end,B_End,2020-10-08 03:02:42.406351+00:00,1,,,11.25,23,0,5,0,1,1,0,1,0,2,0,250,0,100,0,3,1,0,1,2,2,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
24,rqncblzz,P19,0,74,74,el_end,B_End,2020-10-08 03:02:49.232665+00:00,1,,,15.50,24,0,0,0,0,1,0,1,0,2,0,250,0,100,0,3,0,0,0,2,0,0.00,1,250,50,1,mjng8ph4,201008 Session 3,,,Session 3 NSM,0
